Date,close
1993-01-31,24.113250732421875
1993-02-28,24.37051773071289
1993-03-31,24.91638946533203
1993-04-30,24.278837203979492
1993-05-31,24.933637619018555
1993-06-30,25.02357292175293
1993-07-31,24.902101516723633
1993-08-31,25.856531143188477
1993-09-30,25.66840934753418
1993-10-31,26.174781799316406
1993-11-30,25.895404815673828
1993-12-31,26.21332359313965
1994-01-31,27.12752342224121
1994-02-28,26.336380004882812
1994-03-31,25.23285675048828
1994-04-30,25.51578140258789
1994-05-31,25.922460556030273
1994-06-30,25.328487396240234
1994-07-31,26.147253036499023
1994-08-31,27.14403533935547
1994-09-30,26.458494186401367
1994-10-31,27.21061134338379
1994-11-30,26.127199172973633
1994-12-31,26.31746482849121
1995-01-31,27.201948165893555
1995-02-28,28.31204605102539
1995-03-31,29.100475311279297
1995-04-30,29.96250343322754
1995-05-31,31.151214599609375
1995-06-30,31.781394958496094
1995-07-31,32.80364990234375
1995-08-31,32.949676513671875
1995-09-30,34.34597396850586
1995-10-31,34.24502944946289
1995-11-30,35.768253326416016
1995-12-31,36.33100128173828
1996-01-31,37.623592376708984
1996-02-29,37.74359893798828
1996-03-31,38.39350509643555
1996-04-30,38.810794830322266
1996-05-31,39.69182205200195
1996-06-30,40.04198455810547
1996-07-31,38.242652893066406
1996-08-31,38.97914505004883
1996-09-30,41.15701675415039
1996-10-31,42.48767852783203
1996-11-30,45.589473724365234
1996-12-31,44.504554748535156
1997-01-31,47.25432205200195
1997-02-28,47.70631790161133
1997-03-31,45.60137939453125
1997-04-30,48.45619583129883
1997-05-31,51.51896667480469
1997-06-30,53.636531829833984
1997-07-31,57.88798904418945
1997-08-31,54.88914489746094
1997-09-30,57.52882766723633
1997-10-31,56.119163513183594
1997-11-30,58.29081344604492
1997-12-31,59.40251541137695
1998-01-31,60.167503356933594
1998-02-28,64.3367919921875
1998-03-31,67.47537231445312
1998-04-30,68.33843994140625
1998-05-31,66.91912841796875
1998-06-30,69.76809692382812
1998-07-31,68.82530212402344
1998-08-31,59.10855484008789
1998-09-30,62.870208740234375
1998-10-31,67.9677963256836
1998-11-30,71.7523422241211
1998-12-31,76.44654083251953
1999-01-31,79.13939666748047
1999-02-28,76.60151672363281
1999-03-31,79.7780532836914
1999-04-30,82.80762481689453
1999-05-31,80.91413116455078
1999-06-30,85.3949966430664
1999-07-31,82.74586486816406
1999-08-31,82.31736755371094
1999-09-30,80.47863006591797
1999-10-31,85.63550567626953
1999-11-30,87.06145477294922
1999-12-31,92.03351593017578
2000-01-31,87.45142364501953
2000-02-29,86.11985778808594
2000-03-31,94.46611022949219
2000-04-30,91.14844512939453
2000-05-31,89.71536254882812
2000-06-30,91.4811019897461
2000-07-31,90.04466247558594
2000-08-31,95.92823791503906
2000-09-30,90.66539001464844
2000-10-31,90.24127197265625
2000-11-30,83.50447845458984
2000-12-31,83.06805419921875
2001-01-31,86.76121520996094
2001-02-28,78.48523712158203
2001-03-31,74.08717346191406
2001-04-30,80.41716766357422
2001-05-31,79.96636962890625
2001-06-30,78.06082153320312
2001-07-31,77.26492309570312
2001-08-31,72.68061065673828
2001-09-30,66.74767303466797
2001-10-31,67.6168441772461
2001-11-30,72.88945007324219
2001-12-31,73.3004379272461
2002-01-31,72.58224487304688
2002-02-28,71.28036499023438
2002-03-31,73.65193176269531
2002-04-30,69.36861419677734
2002-05-31,68.95702362060547
2002-06-30,63.867488861083984
2002-07-31,58.83347702026367
2002-08-31,59.23361587524414
2002-09-30,53.022823333740234
2002-10-31,57.38574981689453
2002-11-30,60.92535400390625
2002-12-31,57.47882080078125
